學年度,學期,設立別,學校類型,學校代碼,學校名稱,系所代碼,系所名稱,學制,對方國別,對方學校名稱,對方學校英文名稱,總計,男生,女生
103,2,公立,一般大學,7,國立交通大學,529925,聲音與音樂創意科技碩士學位學程,碩士班(日間),芬蘭,約瓦斯其拉大學,University of Jyvaskyla,1,0,1
103,2,公立,一般大學,8,國立中央大學,220901,歷史研究所,碩士班(日間),中國大陸,安陽工學院,anyang institute of technolog,1,1,0
103,2,公立,一般大學,9,國立中山大學,349919,人力資源管理全英語碩士學位學程,碩士班(日間),斯洛伐克,夸美紐斯大學,Comenius University in Bratislava,1,1,0
103,2,公立,一般大學,9,國立中山大學,340301,企業管理學系,碩士班(日間),中國大陸,清華大學,Tsinghua University,1,0,1
103,2,公立,一般大學,9,國立中山大學,340301,企業管理學系,碩士班(日間),中國大陸,復旦大學,Fudan University,1,0,1
103,2,公立,一般大學,9,國立中山大學,340301,企業管理學系,碩士班(日間),南韓,漢城科技整合學校,Technologies(aSSIST),1,0,1
103,2,公立,一般大學,9,國立中山大學,340301,企業管理學系,碩士班(日間),中國大陸,同濟大學,Tongji University,1,1,0
103,2,公立,一般大學,9,國立中山大學,310808,公共事務管理研究所,碩士班(日間),南韓,中央大學,Chung-Ang University,1,1,0
103,2,公立,一般大學,9,國立中山大學,310808,公共事務管理研究所,碩士班(日間),日本,中央大學,Chuo University,1,0,1
103,2,公立,一般大學,9,國立中山大學,310201,政治學研究所,碩士班(日間),南韓,成均館大學,Sungkyunkwan University,1,0,1
103,2,公立,一般大學,9,國立中山大學,310201,政治學研究所,碩士班(日間),瑞典,林奈大學,Linnaeus University,1,0,1
103,2,公立,一般大學,9,國立中山大學,520909,海洋環境及工程學系,碩士班(日間),日本,立命館大學,Ritsumeikan University,1,1,0
103,2,公立,一般大學,12,國立臺灣海洋大學,520212,系統工程暨造船學系,碩士班(日間),中國大陸,上海交通大學,Shanghai Jiao Tong University,1,1,0
103,2,公立,一般大學,12,國立臺灣海洋大學,520212,系統工程暨造船學系,碩士班(日間),日本,大阪大學,Osaka University,6,4,2
103,2,公立,一般大學,12,國立臺灣海洋大學,621104,水產養殖學系,碩士班(日間),加拿大,ELS溫哥華校區,ELS Language Centers - Vancouver,1,0,1
103,2,公立,一般大學,9,國立中山大學,520226,機械與機電工程學系,碩士班(日間),捷克,捷克科技大學,Czech Technical University in Prague,1,1,0
103,2,公立,一般大學,9,國立中山大學,520226,機械與機電工程學系,碩士班(日間),捷克,捷克科技大學,Czech Technical University in Prague,1,1,0
103,2,公立,一般大學,9,國立中山大學,340310,管理學院國際經營管理碩士學程,碩士班(日間),法國,巴黎高等經貿學院,Institute Superieur du Commerce (ISCParis),1,1,0
